episode,episode_return,return_ma50,final_distance,distance_ma50,success,success_ma50,episode_steps,epsilon,mean_loss,learning_rate,buffer_size,total_steps
1,8.205501221252026,8.205501221252026,0.029754946008324623,0.029754946008324623,1,1.0,122,0.998,nan,0.0005,122,122
2,-19.24751198575225,-5.521005382250112,0.19885477423667908,0.11430486012250185,0,0.5,500,0.996004,0.02429605871476839,0.0005,622,622
3,-46.3164054433419,-19.119472069280707,0.4309041202068329,0.21983794681727886,0,0.3333333333333333,500,0.994011992,0.014318063852704654,0.0005,1122,1122
4,4.391205702509125,-13.24180262633325,0.029819684103131294,0.17233338113874197,1,0.5,212,0.992023968016,0.011703105030632424,0.0005,1334,1334
5,8.802971650948308,-8.832847770876938,0.02979949861764908,0.1438266046345234,1,0.6,112,0.990039920079968,0.01172557251132795,0.0005,1446,1446
6,-41.28419558995989,-14.241405740724097,0.3714619576931,0.18176583014428616,0,0.5,500,0.9880598402398081,0.01143869772040489,0.0005,1946,1946
7,10.211276512183554,-10.748165418880147,0.029425371438264847,0.16000290747199739,1,0.5714285714285714,8,0.9860837205593285,0.03603059603301517,0.0005,1954,1954
8,-36.343106309941135,-13.947533030262772,0.42965269088745117,0.19370913039892912,0,0.5,500,0.9841115531182099,0.011367058638632443,0.0005,2454,2454
9,-25.662403261558975,-15.249185278184573,0.35612693428993225,0.21175555305348503,0,0.4444444444444444,500,0.9821433300119734,0.013938366150363436,0.0005,2954,2954
10,10.283195128250576,-12.695947237541057,0.029135672375559807,0.1934935649856925,1,0.5,8,0.9801790433519495,0.017969212125535705,0.0005,2962,2962
11,10.107994685919145,-10.622861608135583,0.02999698556959629,0.17863023958422922,1,0.5454545454545454,10,0.9782186852652456,0.014498764908057637,0.0005,2972,2972
12,-44.24344261284439,-13.424576691861319,0.5832464694976807,0.2123482587436835,0,0.5,500,0.976262247894715,0.01735899313025584,0.0005,3472,3472
13,-15.027035751095498,-13.547842773340872,0.22678539156913757,0.21345880742256457,0,0.46153846153846156,500,0.9743097233989256,0.014644532997066563,0.0005,3972,3972
14,-12.021297367680608,-13.438803815793708,0.12151870876550674,0.206891657518489,0,0.42857142857142855,500,0.9723611039521278,0.011516595028158917,0.0005,4472,4472
15,-22.517395024215418,-14.04404322968849,0.2314169555902481,0.20852667738993963,0,0.4,500,0.9704163817442236,0.013737760719042853,0.0005,4972,4972
16,-22.40568298617895,-14.566645714469143,0.2166682481765747,0.20903552556410432,0,0.375,500,0.9684755489807352,0.011256811377039412,0.0005,5472,5472
17,10.443473339875945,-13.095462240684139,0.029764274135231972,0.19849015783299417,1,0.4117647058823529,14,0.9665385978827737,0.009597426430575848,0.0005,5486,5486
18,-35.34829213426601,-14.331730568105352,0.36359724402427673,0.20766277373250988,0,0.3888888888888889,500,0.9646055206870082,0.01193968736541865,0.0005,5986,5986
19,-13.085364893807697,-14.266132374721266,0.13250720500946045,0.20370721748392834,0,0.3684210526315789,500,0.9626763096456342,0.010491335427301237,0.0005,6486,6486
20,-5.364585695849046,-13.821055040777654,0.029672084376215935,0.1950054608285427,1,0.4,436,0.9607509570263429,0.01091568712957127,0.0005,6922,6922
21,8.836358593750784,-12.742130581990585,0.029305286705493927,0.18711497634649277,1,0.42857142857142855,60,0.9588294551122902,0.004895275755552575,0.0005,6982,6982
22,-23.58678408658162,-13.235069377653815,0.1838846504688263,0.1869681433520534,0,0.4090909090909091,500,0.9569117962020657,0.012359444626767071,0.0005,7482,7482
23,-11.017719070125292,-13.138662842543878,0.07046527415513992,0.18190280121305716,0,0.391304347826087,500,0.9549979726096616,0.009866543459706008,0.0005,7982,7982
24,-25.088631446292485,-13.636578201033403,0.3320360779762268,0.18815835441152254,0,0.375,500,0.9530879766644422,0.007745510986598674,0.0005,8482,8482
25,10.24464942287252,-12.681329096077167,0.02955235168337822,0.18181411430239677,1,0.4,8,0.9511818007111134,0.00026984115538652986,0.0005,8490,8490
26,9.310445125311944,-11.83549162602374,0.029590532183647156,0.17595936114398333,1,0.4230769230769231,46,0.9492794371096911,0.021002506428213445,0.0005,8536,8536
27,-15.492918064710906,-11.970951864493635,0.10219850391149521,0.17322747754278006,0,0.4074074074074074,500,0.9473808782354717,0.011437865595653421,0.0005,9036,9036
28,9.172690020046433,-11.215821797188633,0.029999837279319763,0.16811220467622792,1,0.42857142857142855,76,0.9454861164790007,0.004152130057934157,0.0005,9112,9112
29,-13.313141786204511,-11.288143176120213,0.06271008402109146,0.16447764879156804,0,0.41379310344827586,500,0.9435951442460427,0.011353699859871995,0.0005,9612,9612
30,9.357123827068555,-10.599967609347255,0.02986013889312744,0.15999039846162003,1,0.43333333333333335,69,0.9417079539575507,0.01041884733000399,0.0005,9681,9681
31,2.9859205337864125,-10.161713153117137,0.0295428279787302,0.15578241231701068,1,0.45161290322580644,201,0.9398245380496356,0.01155606399885951,0.0005,9882,9882
32,-11.552803651816793,-10.205184731201502,0.08873067051172256,0.1536870453855954,0,0.4375,500,0.9379448889735363,0.007295954222237924,0.0005,10382,10382
33,9.081879876736147,-9.620728227930664,0.029615815728902817,0.1499273111535744,1,0.45454545454545453,63,0.9360689991955893,0.004754952680770426,0.0005,10445,10445
34,-20.697249375687637,-9.946508261688223,0.19346797466278076,0.1512079189038452,0,0.4411764705882353,500,0.9341968611971981,0.012916266243293648,0.0005,10945,10945
35,-18.933238998364324,-10.203271997021826,0.1598067283630371,0.15145359917410783,0,0.42857142857142855,500,0.9323284674748037,0.011172555413766532,0.0005,11445,11445
36,-17.283646761575294,-10.399949073814978,0.22502410411834717,0.1534972243114478,0,0.4166666666666667,500,0.930463810539854,0.012413286353315926,0.0005,11945,11945
37,-16.05300254017542,-10.552734302635532,0.19017109274864197,0.1544884099448855,0,0.40540540540540543,500,0.9286028829187744,0.013544957450940275,0.0005,12445,12445
38,0.4344374697277118,-10.263598203362815,0.029650501906871796,0.15120320183862196,1,0.42105263157894735,413,0.9267456771529368,0.008448349399470721,0.0005,12858,12858
39,-18.313969178867136,-10.47001797196549,0.24787849187850952,0.15368205542938831,0,0.41025641025641024,500,0.9248921857986309,0.008987160810967907,0.0005,13358,13358
40,-18.18363493563692,-10.662858396057274,0.19302424788475037,0.15466561024077236,0,0.4,500,0.9230424014270336,0.008356727429461898,0.0005,13858,13858
41,-20.35741455021438,-10.899310985183057,0.19540423154830933,0.15565923515071228,0,0.3902439024390244,500,0.9211963166241796,0.011641919849033002,0.0005,14358,14358
42,-22.306797393369408,-11.17091780442559,0.0977720096707344,0.1542809678773795,0,0.38095238095238093,500,0.9193539239909312,0.009341654941265005,0.0005,14858,14858
43,-10.832715414131954,-11.163052632558296,0.09960397332906723,0.15300940986462805,0,0.37209302325581395,500,0.9175152161429493,0.0065229123149183575,0.0005,15358,15358
44,-27.63324227462322,-11.537375124423408,0.30695292353630066,0.1565081260844388,0,0.36363636363636365,500,0.9156801857106633,0.009848617926239967,0.0005,15858,15858
