episode,episode_return,final_distance,success,episode_steps,epsilon,mean_abs_td_error
1,8.205501221252026,0.029754946008324623,1,122,0.9985,0.09632937475460221
2,-19.02440036852938,0.23155777156352997,0,500,0.9970022500000001,0.03175276315136446
3,-35.65502238947747,0.49896150827407837,0,500,0.9955067466250002,0.05604531559429055
4,4.500780618582841,0.029824888333678246,1,251,0.9940134865050627,0.13309012334288622
5,-20.294365142226493,0.19725607335567474,0,500,0.9925224662753052,0.03209580339157553
6,-16.509421668571004,0.3264630436897278,0,500,0.9910336825758923,0.055226768341389704
7,-30.305118106194442,0.2675777077674866,0,500,0.9895471320520285,0.04472794625484313
8,8.761600587134852,0.029388772323727608,1,67,0.9880628113539505,0.2549662311185067
9,10.09740383301631,0.029790684580802917,1,5,0.9865807171369196,2.666917653120593
10,-15.918550364484148,0.1450609266757965,0,500,0.9851008460612143,0.025620901534175965
11,-32.10730328970209,0.2544332444667816,0,500,0.9836231947921226,0.04387552118227534
12,10.037922466473287,0.0298960842192173,1,9,0.9821477599999344,1.393209062852661
13,-19.31957955953979,0.1989770084619522,0,500,0.9806745383599346,0.03564203875899931
14,4.630609315481159,0.02962575852870941,1,165,0.9792035265523947,0.10116474981329643
15,-18.371768170176253,0.08406844735145569,0,500,0.9777347212625662,0.07029095577473972
16,-24.10019627538932,0.3814121186733246,0,500,0.9762681191806725,0.061891892828668804
17,-20.274287509789705,0.39526593685150146,0,500,0.9748037170019015,0.04142457090095023
18,-38.78130226089908,0.268658310174942,0,500,0.9733415114263987,0.059926892654048845
19,9.587225465582481,0.02947927825152874,1,27,0.9718814991592591,0.49307241411121844
20,-35.56481744714733,0.3814944922924042,0,500,0.9704236769105203,0.056838187254697234
21,-16.78085706741804,0.17366817593574524,0,500,0.9689680413951546,0.028926736306715498
22,-40.22660041676818,0.3593239486217499,0,500,0.9675145893330619,0.06719847762116048
23,-22.060095964655126,0.2636600732803345,0,500,0.9660633174490624,0.03918210449608023
24,-19.64085210040328,0.2152896374464035,0,500,0.9646142224728889,0.035405316259510385
25,-24.23500481308698,0.21991638839244843,0,500,0.9631673011391796,0.039575312591952155
26,-19.52949060942496,0.34122732281684875,0,500,0.9617225501874709,0.03152634168115769
27,-32.75008360590308,0.35390976071357727,0,500,0.9602799663621897,0.05298051047443907
28,-37.03820498249249,0.3982029855251312,0,500,0.9588395464126465,0.05819703185054992
29,-14.876474356617859,0.1452258974313736,0,500,0.9574012870930275,0.029101026590284938
30,0.9155890869884846,0.02992415986955166,1,297,0.955965185162388,0.21825594937958137
31,-23.02736493188944,0.29320746660232544,0,500,0.9545312373846445,0.043603610716988796
32,-31.596523400397313,0.3405069410800934,0,500,0.9530994405285677,0.054496754185646666
33,9.412333284769854,0.029958007857203484,1,72,0.9516697913677749,0.3521927683952932
34,-35.16654516932121,0.4398351013660431,0,500,0.9502422866807232,0.05992910810187236
35,-11.998870395372299,0.06852100044488907,0,500,0.9488169232507021,0.030084542946328036
36,0.7074911974187597,0.02966160699725151,1,266,0.9473936978658261,0.09993067290624925
37,-21.29341263213677,0.13190731406211853,0,500,0.9459726073190273,0.04034808656145897
38,-16.00685209066755,0.12743346393108368,0,500,0.9445536484080488,0.05291865802258407
39,3.5094263599124353,0.029945729300379753,1,191,0.9431368179354368,0.1675233802731563
40,10.182412173541504,0.029553836211562157,1,23,0.9417221127085337,0.7307487961849743
41,10.072432561975871,0.02968873269855976,1,7,0.9403095295394709,1.5320702170504743
42,-32.05102912960932,0.45511385798454285,0,500,0.9388990652451618,0.05995107742612552
43,-44.68149015816983,0.5515797138214111,0,500,0.9374907166472941,0.07388373582243286
44,10.271013131377256,0.028986290097236633,1,7,0.9360844805723232,1.5611997458309794
45,-3.5069986460550684,0.029878100380301476,1,328,0.9346803538514648,0.0752957573795734
46,10.252549450492713,0.02905777096748352,1,7,0.9332783333206877,1.4964829210960338
47,-27.599605121772466,0.17383112013339996,0,500,0.9318784158207066,0.057507918422984264
48,10.288617734341926,0.029994463548064232,1,13,0.9304805981969756,1.3462333410459877
49,7.7592369609107825,0.02986942045390606,1,110,0.9290848772996801,0.3575863175391261
50,-27.53998593937233,0.35721299052238464,0,500,0.9276912499837306,0.04872435191943858
51,-22.43541284502536,0.05634230375289917,0,500,0.9262997131087551,0.045989802064156496
52,-7.257703948231024,0.029550468549132347,1,469,0.924910263539092,0.08945159297494777
53,10.274559111189554,0.02969830296933651,1,14,0.9235228981437834,0.8974678508604962
54,-31.683622549843633,0.2947768270969391,0,500,0.9221376137965678,0.05900947377396371
55,-12.691032101171823,0.08266754448413849,0,500,0.920754407375873,0.14311163851232186
56,10.035022354346392,0.029603132978081703,1,32,0.9193732757648092,0.7699749069202813
57,-28.120961917045992,0.4670264422893524,0,500,0.917994215851162,0.11755679211747377
58,2.0754288206817266,0.02979503571987152,1,225,0.9166172245273854,0.10325475245491829
59,-16.87210090822393,0.17477074265480042,0,500,0.9152422986905944,0.05913027238862482
60,-14.009052171516057,0.1409890502691269,0,500,0.9138694352425585,0.09626375831752979
61,-39.68241478426631,0.4303251802921295,0,500,0.9124986310896946,0.06065843788563152
62,-17.811257796614715,0.1733373999595642,0,500,0.9111298831430602,0.033517150609187564
63,-17.429765052674504,0.15597549080848694,0,500,0.9097631883183457,0.03751154972337634
64,5.708461048229137,0.02970302477478981,1,145,0.9083985435358682,0.11570413733529838
65,10.124505496565405,0.029745647683739662,1,4,0.9070359457205645,2.9439333361493056
66,-23.225728867460038,0.30244898796081543,0,500,0.9056753918019836,0.06862358355873342
67,-32.41660521692459,0.26508235931396484,0,500,0.9043168787142807,0.051384853517455295
68,-17.914762420070137,0.23247939348220825,0,500,0.9029604033962093,0.07200162453940809
69,-21.931961738609772,0.3011051118373871,0,500,0.901605962791115,0.062313797567899364
70,-33.91794826857642,0.5406325459480286,0,500,0.9002535538469284,0.06993200636117146
71,-37.120396546960194,0.4072600305080414,0,500,0.898903173516158,0.07344069224827975
72,10.049254179002958,0.029860801994800568,1,30,0.8975548187558838,0.9566219387543261
73,10.090505096136637,0.029613522812724113,1,11,0.8962084865277501,0.9412829931644964
74,-38.379033159661184,0.4121454358100891,0,500,0.8948641737979585,0.07562088798525507
75,-28.448652999446534,0.31307879090309143,0,500,0.8935218775372615,0.06184872930829175
76,-10.78459523563365,0.07983475178480148,0,500,0.8921815947209557,0.17013739141684794
77,6.5269224428671215,0.029937908053398132,1,168,0.8908433223288743,0.15511065512894062
78,-37.06746502911701,0.5631210803985596,0,500,0.889507057345381,0.06692839343935245
79,-15.7812398134982,0.28980201482772827,0,500,0.888172796759363,0.1247383351147919
80,-12.734745301862315,0.09214721620082855,0,500,0.886840537564224,0.14481651995145176
81,-17.064385757115875,0.27165865898132324,0,500,0.8855102767578777,0.04780087303558068
82,9.665456349088133,0.029985032975673676,1,43,0.884182011342741,0.5411329821961601
83,-25.379066913156045,0.4209230840206146,0,500,0.882855738325727,0.0962412880077965
84,5.686853422124471,0.029675666242837906,1,136,0.8815314547182383,0.12943815714320203
85,-26.56988814575089,0.3934684991836548,0,500,0.880209157536161,0.05368382465311025
86,-53.9635673049115,0.7254298329353333,0,500,0.8788888437998569,0.10634222570856594
87,5.809919026227897,0.02996964193880558,1,235,0.8775705105341571,0.2571189624831023
88,-26.76302478835106,0.09235058724880219,0,500,0.876254154768356,0.06202732193854109
89,10.224387656313336,0.029166245833039284,1,12,0.8749397735362036,1.0770546031909565
90,-17.120372272505264,0.17631851136684418,0,500,0.8736273638758993,0.054244020501856886
91,-4.1821240621969125,0.02946314960718155,1,406,0.8723169228300856,0.12964494213263109
92,8.572817772542894,0.029984794557094574,1,99,0.8710084474458405,0.42428602359619616
93,-1.1463262594757158,0.02998071350157261,1,300,0.8697019347746718,0.08575773279247853
94,-30.785499263179137,0.4268222749233246,0,500,0.8683973818725099,0.08394817001679351
95,6.7933222220759895,0.029779747128486633,1,115,0.8670947857997012,0.18956847215563302
96,-28.262099153900554,0.3658146560192108,0,500,0.8657941436210017,0.060955678331440506
97,-34.21357006577166,0.40057480335235596,0,500,0.8644954524055702,0.07399530525550807
98,6.637497559024707,0.02994716353714466,1,256,0.863198709226962,0.4889008113451885
99,-1.5857077435447309,0.02939734235405922,1,383,0.8619039111631216,0.2614591179875644
100,9.314671627115358,0.029913172125816345,1,73,0.8606110552963769,0.45117415919367115
101,9.225926862002801,0.02942863292992115,1,57,0.8593201387134324,0.7167047661135171
102,-41.442539884142526,0.46387770771980286,0,500,0.8580311585053623,0.07616258998573214
103,-12.417625417921025,0.16427189111709595,0,500,0.8567441117676042,0.15484895575132293
104,-48.96248171397208,0.5560222268104553,0,500,0.8554589955999529,0.09540874735660969
105,10.466309496252842,0.028618738055229187,1,10,0.8541758071065529,1.240454126878672
106,-10.597675120966535,0.0579584464430809,0,500,0.8528945433958932,0.23014019989921747
107,9.726432159798017,0.029683731496334076,1,32,0.8516152015807994,0.6330654714602315
108,9.529495183209669,0.029905231669545174,1,63,0.8503377787784282,0.5259923744510402
109,3.3851156954355366,0.029786644503474236,1,200,0.8490622721102606,0.19306788719512077
110,-15.40238439511888,0.18508514761924744,0,500,0.8477886787020953,0.17792589708448528
111,-29.545397208948582,0.34234392642974854,0,500,0.8465169956840422,0.061943968715034554
112,4.611826591781408,0.029992245137691498,1,238,0.8452472201905161,0.23872553525722137
113,10.230118672885306,0.029489915817975998,1,8,0.8439793493602304,1.7949138243636495
114,-25.23816140096261,0.3184652030467987,0,500,0.8427133803361901,0.09636694305831772
115,-41.107125389208946,0.4480699896812439,0,500,0.8414493102656859,0.07443656257442871
116,-26.322497971742592,0.21490392088890076,0,500,0.8401871363002874,0.0863784169889309
117,-34.86076587118209,0.7103676795959473,0,500,0.838926855595837,0.21626624333699998
118,7.112693828979825,0.02989904396235943,1,143,0.8376684653124433,0.33402254059984265
119,10.23379244874329,0.02953561767935753,1,8,0.8364119626144747,1.605096218829379
120,10.091103136318488,0.029674101620912552,1,19,0.835157344670553,0.8253470052248011
121,-51.702750981565664,0.6288919448852539,0,500,0.8339046086535472,0.10654455856916134
122,-57.07749975507896,0.3888978660106659,0,500,0.8326537517405669,0.1095396912252576
123,-24.215946874115318,0.1695367693901062,0,500,0.8314047711129561,0.0759958972036239
124,2.528897177011652,0.02987506426870823,1,367,0.8301576639562867,0.3459003273483611
125,-15.04291417296492,0.23553645610809326,0,500,0.8289124274603523,0.15914985008785335
126,-29.55780117544366,0.514654278755188,0,500,0.8276690588191619,0.16166461212211192
127,8.869117967144595,0.02979869581758976,1,56,0.8264275552309331,0.2765618692839974
128,-18.756313148475705,0.10323686897754669,0,500,0.8251879138980868,0.13362088587437868
129,-25.377304228448242,0.25558364391326904,0,500,0.8239501320272397,0.11535999338910687
130,10.279686497913307,0.029246991500258446,1,7,0.8227142068291988,1.786718716841819
131,-19.408609628393336,0.1469402313232422,0,500,0.821480135518955,0.14542715806634396
132,-6.686467154606467,0.02949090674519539,1,367,0.8202479153156766,0.12662935146541168
133,-31.615278138230135,0.33806514739990234,0,500,0.8190175434427032,0.08025540833925607
134,-18.236826334028784,0.2285916805267334,0,500,0.8177890171275392,0.11279967351941124
135,9.193274324650211,0.029413694515824318,1,61,0.8165623336018479,0.5706003585392891
136,-20.554541673972313,0.10328289121389389,0,500,0.8153374901014452,0.13645610443811138
137,-17.888572582525857,0.16923211514949799,0,500,0.814114483866293,0.10019455897970499
138,-54.09724819966963,0.630834698677063,0,500,0.8128933121404937,0.10779860356719743
139,7.110820295209824,0.029852233827114105,1,143,0.811673972172283,0.2074549459225866
140,-28.333447297148567,0.3497244417667389,0,500,0.8104564612140246,0.052965489638943965
141,-30.912799418238237,0.20304086804389954,0,500,0.8092407765222036,0.07888347567793551
142,9.915006066247708,0.029993444681167603,1,57,0.8080269153574203,0.8583297843615556
143,-20.667438153005822,0.4044029116630554,0,500,0.8068148749843842,0.17998821260321474
144,-22.35650549634655,0.10710358619689941,0,500,0.8056046526719076,0.23775847766530192
145,-29.512852467091253,0.34252774715423584,0,500,0.8043962456928998,0.08161174528066079
146,8.359521370477887,0.029594436287879944,1,78,0.8031896513243605,0.24607931359346694
147,-21.806723455288967,0.2560396194458008,0,500,0.801984866847374,0.14436140087036756
148,-20.559538960432082,0.10047601163387299,0,500,0.800781889547103,0.07752335548420389
149,-15.641233811277994,0.12957817316055298,0,500,0.7995807167127824,0.21598994328288512
150,-34.703746734756095,0.48775777220726013,0,500,0.7983813456377132,0.09221728944460864
151,-22.095721010666182,0.30230772495269775,0,500,0.7971837736192567,0.0781260489071372
152,9.692596546036768,0.029921509325504303,1,25,0.7959879979588279,0.6869214256666939
153,-25.891432983230665,0.238181009888649,0,500,0.7947940159618897,0.2009150385712216
154,-10.00580769535746,0.11177460849285126,0,500,0.793601824937947,0.2537954547893672
155,-28.01745620195958,0.07171835005283356,0,500,0.7924114222005401,0.07315579079300312
156,-29.103992981395745,0.3078310489654541,0,500,0.7912228050672393,0.0670667630751947
157,-11.899735154819432,0.10771835595369339,0,500,0.7900359708596385,0.13106064107071733
158,-22.82042478132081,0.2530735433101654,0,500,0.7888509169033491,0.07560394933296125
159,-14.726992376431603,0.13992492854595184,0,500,0.7876676405279941,0.14954868316062384
160,-33.446381855909394,0.6414319276809692,0,500,0.7864861390672021,0.12564431948634386
161,-14.382839943288204,0.14875714480876923,0,500,0.7853064098586013,0.23653307922560174
162,-26.83271015823321,0.36280620098114014,0,500,0.7841284502438135,0.08044889328750188
163,-11.591855661689742,0.09878251701593399,0,500,0.7829522575684478,0.22511104839502624
164,-37.058600178180626,0.3535997271537781,0,500,0.7817778291820952,0.07634317835969523
165,10.356786234546162,0.02901434898376465,1,10,0.780605162438322,1.456750587191895
166,9.395462103739268,0.029675254598259926,1,56,0.7794342546946645,0.33625138889322587
167,9.875154380617918,0.029935963451862335,1,50,0.7782651033126226,0.9170921161309755
168,-25.82956228207425,0.16282585263252258,0,500,0.7770977056576537,0.08197066184329002
169,10.159236020717922,0.02923576347529888,1,5,0.7759320590991673,2.2735781591594217
170,5.80011971898714,0.0296937208622694,1,139,0.7747681610105186,0.19016273840870387
171,-49.74861808158137,0.4994519054889679,0,500,0.7736060087690029,0.11066184194872301
172,-14.191436007723736,0.040689848363399506,0,500,0.7724455997558494,0.26781299708808254
173,-34.98807921559599,0.5134608149528503,0,500,0.7712869313562156,0.08071477314322098
174,10.330120498232848,0.029722196981310844,1,9,0.7701300009591814,1.9817325705877948
175,7.575433672251246,0.029991725459694862,1,198,0.7689748059577427,0.5740281731418574
176,-28.726894604338085,0.39342638850212097,0,500,0.7678213437488062,0.165020893741563
177,8.375772880733674,0.029678596183657646,1,122,0.766669611733183,0.4741786888021015
178,10.204422065902211,0.029918989166617393,1,9,0.7655196073155833,1.5928135769946214
179,-41.97135255565579,0.378589928150177,0,500,0.76437132790461,0.13877334124322163
180,-40.147794211124626,0.6955541968345642,0,500,0.7632247709127532,0.17364384781517203
181,7.631026942563922,0.02972560003399849,1,171,0.7620799337563842,0.23817535187918612
182,-26.35194902676175,0.49712929129600525,0,500,0.7609368138557496,0.10132416400226682
183,-15.058742617405429,0.10411965101957321,0,500,0.7597954086349661,0.20731203923372443
184,-24.42645845784125,0.23695501685142517,0,500,0.7586557155220137,0.08801379212461682
185,-14.736627073678772,0.2341952919960022,0,500,0.7575177319487307,0.18325829375807318
186,-17.86963327140803,0.13756218552589417,0,500,0.7563814553508077,0.1383235250265384
187,10.10352703479514,0.029872087761759758,1,8,0.7552468831677815,1.8742571156511645
